MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1
Dichrozona-cincta,15.0,48.0,12.0,0.5556,0.2381,0.3333
Diglossa-brunneiventris,63.0,3.0,9.0,0.875,0.9545,0.913
Diglossa-caerulescens,18.0,0.0,0.0,1.0,1.0,1.0
Diglossa-glauca,27.0,45.0,0.0,1.0,0.375,0.5455
Diopsittaca-nobilis,51.0,27.0,3.0,0.9444,0.6538,0.7727
Dolichonyx-oryzivorus,18.0,0.0,0.0,1.0,1.0,1.0
Donacobius-atricapilla,96.0,42.0,3.0,0.9697,0.6957,0.8101
Doryfera-johannae,15.0,48.0,0.0,1.0,0.2381,0.3846
Dromococcyx-phasianellus,6.0,9.0,0.0,1.0,0.4,0.5714
Drymophila-devillei,102.0,0.0,30.0,0.7727,1.0,0.8718
Dryocopus-lineatus,90.0,18.0,39.0,0.6977,0.8333,0.7595
Dubusia-taeniata,12.0,21.0,3.0,0.8,0.3636,0.5
Egretta-caerulea,6.0,24.0,3.0,0.6667,0.2,0.3077
Egretta-thula,6.0,3.0,0.0,1.0,0.6667,0.8
Elaenia-albiceps,120.0,0.0,24.0,0.8333,1.0,0.9091
Elaenia-chiriquensis,63.0,12.0,3.0,0.9545,0.84,0.8936
Elaenia-cristata,12.0,0.0,21.0,0.3636,1.0,0.5333
Elaenia-gigas,3.0,0.0,3.0,0.5,1.0,0.6667
Elaenia-pallatangae,21.0,0.0,0.0,1.0,1.0,1.0
Elaenia-parvirostris,30.0,12.0,12.0,0.7143,0.7143,0.7143
Elaenia-spectabilis,21.0,0.0,12.0,0.6364,1.0,0.7778
Elanus-leucurus,60.0,81.0,0.0,1.0,0.4255,0.597
Electron-platyrhynchum,9.0,9.0,9.0,0.5,0.5,0.5
Emberizoides-herbicola,84.0,0.0,0.0,1.0,1.0,1.0
Empidonax-alnorum,15.0,0.0,0.0,1.0,1.0,1.0
Empidonomus-varius,27.0,0.0,3.0,0.9,1.0,0.9474
Entomodestes-leucotis,0.0,21.0,9.0,0.0,0.0,
Epinecrophylla-amazonica,15.0,6.0,6.0,0.7143,0.7143,0.7143
Epinecrophylla-erythrura,60.0,3.0,0.0,1.0,0.9524,0.9756
Epinecrophylla-haematonota,36.0,21.0,9.0,0.8,0.6316,0.7059
Epinecrophylla-ornata,54.0,15.0,3.0,0.9474,0.7826,0.8571
Eubucco-richardsoni,3.0,9.0,3.0,0.5,0.25,0.3333
Euchrepomis-humeralis,78.0,15.0,21.0,0.7879,0.8387,0.8125
Eucometis-penicillata,18.0,0.0,6.0,0.75,1.0,0.8571
Eupetomena-macroura,27.0,0.0,0.0,1.0,1.0,1.0
Euphonia-chlorotica,63.0,12.0,0.0,1.0,0.84,0.913
