MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1
Myiobius-villosus,69.0,0.0,72.0,0.4894,1.0,0.6571
Myioborus-melanocephalus,81.0,0.0,27.0,0.75,1.0,0.8571
Myioborus-miniatus,63.0,0.0,21.0,0.75,1.0,0.8571
Myiodynastes-luteiventris,42.0,0.0,417.0,0.0915,1.0,0.1677
Myiodynastes-maculatus,150.0,0.0,0.0,1.0,1.0,1.0
Myiopagis-caniceps,153.0,3.0,21.0,0.8793,0.9808,0.9273
Myiopagis-gaimardii,81.0,3.0,114.0,0.4154,0.9643,0.5806
Myiopagis-viridicata,51.0,3.0,69.0,0.425,0.9444,0.5862
Myiornis-ecaudatus,78.0,0.0,6.0,0.9286,1.0,0.963
Myiothlypis-bivittata,81.0,0.0,12.0,0.871,1.0,0.931
Myiothlypis-coronata,90.0,0.0,0.0,1.0,1.0,1.0
